"date","grouping","Troops","troops.mean","troops.med","troops.sd","Police","police.mean","police.median","police.sd","Obvservers","obvservers.mean","obvservers.median","obvservers.sd","Total","total.mean","total.median","total.sd"
1993-11-30,"A3",2723,680.75,513,723.296792471804,45,22.5,22.5,16.2634559672906,60,10,9.5,5.62138772902208,2828,314.222222222222,20,565.208982982794
1993-11-30,"G4",7586,1083.71428571429,101,1806.62952430631,37,9.25,8.5,4.3493294502333,93,9.3,6.5,7.91692982018773,7716,551.142857142857,20.5,1347.0190939851
1993-11-30,"None",43552,518.47619047619,308.5,706.357540718502,860,25.2941176470588,20.5,22.690979934987,1874,11.8607594936709,6,31.1097232950717,46286,213.299539170507,13,509.734805460579
1993-11-30,"P5",14861,1857.625,977,1833.79481150817,104,34.6666666666667,41,10.9696551146029,322,16.1,15,7.45442291882018,15287,587.961538461538,19.5,1310.29463803434
1993-12-31,"A3",2754,688.5,521,728.543066674853,44,22,22,16.9705627484771,72,10.2857142857143,8,5.55920515044749,2870,287,17.5,546.014855312767
1993-12-31,"G4",7292,1215.33333333333,487,1915.86979376644,39,9.75,9.5,4.11298755975102,93,10.3333333333333,6,8.90224690738243,7424,571.076923076923,28,1384.67899177261
1993-12-31,"None",44247,533.096385542169,344,703.790029220846,861,25.3235294117647,21.5,22.6792130003951,1685,10.53125,7,10.4898404727934,46793,213.666666666667,13,507.390719768942
1993-12-31,"P5",12415,1551.875,763.5,1841.46482356535,104,34.6666666666667,41,10.9696551146029,325,17.1052631578947,15,6.69904418424421,12844,513.76,20,1244.89200602569
1994-01-31,"A3",2635,658.75,519,674.955492359805,44,22,22,16.9705627484771,84,10.5,9.5,4.92805380304581,2763,251.181818181818,15,492.657044642989
1994-01-31,"G4",6405,1067.5,486,1562.4879839538,64,12.8,10,7.69415362466854,90,10,6,9,6559,504.538461538462,23,1146.28149650545
1994-01-31,"None",45836,552.240963855422,359,732.481941679701,939,22.9024390243902,14,21.7184309723893,1800,11.0429447852761,7,10.9128702436033,48575,218.806306306306,13,524.380128221959
1994-01-31,"P5",12053,1506.625,908,1817.60941407742,104,34.6666666666667,41,10.9696551146029,336,16.8,15,6.13531623171601,12493,480.5,19.5,1201.78358284676
1994-02-28,"A3",2724,681,530,705.295682675004,44,22,22,16.9705627484771,99,11,10,4.84767985741633,2867,238.916666666667,15,493.716602245998
1994-02-28,"G4",7143,1020.42857142857,53,1796.37049418569,74,14.8,10,11.8406080924925,115,11.5,9,8.1955272354295,7332,488.8,19,1284.69808571064
1994-02-28,"None",47578,573.228915662651,360,750.123360997819,993,21.1276595744681,14,20.9985682962026,1792,10.9938650306748,7,10.8078029268269,50363,227.886877828054,14,540.868342961515
1994-02-28,"P5",10840,1548.57142857143,623,2076.95296505424,104,34.6666666666667,41,10.9696551146029,332,16.6,15,5.95951251980262,11276,451.04,19,1265.45098943684
